Plate ,Well,Group,Type   ,Sample     ,Wavelength,Abs  ,Meas. Time [s]
30, F02,Assay,Unknown,Un_0206 1/1,620,0.13,187.1
30, G02,Assay,Unknown,Un_0207 1/1,620,0.168,187.69
30, H02,Assay,Unknown,Un_0208 1/1,620,0.132,188.53
30, A03,Assay,Unknown,Un_0209 1/1,620,0.106,183.4
30, B03,Assay,Unknown,Un_0210 1/1,620,0.138,184.2
30, C03,Assay,Unknown,Un_0211 1/1,620,0.331,184.83
30, D03,Assay,Unknown,Un_0212 1/1,620,0.173,185.64
30, E03,Assay,Unknown,Un_0213 1/1,620,0.101,186.27
30, F03,Assay,Unknown,Un_0214 1/1,620,0.135,187.08
30, G03,Assay,Unknown,Un_0215 1/1,620,0.134,187.71
30, H03,Assay,Unknown,Un_0216 1/1,620,0.087,188.51
30, A04,Assay,Unknown,Un_0217 1/1,620,0.122,183.42
30, B04,Assay,Unknown,Un_0218 1/1,620,0.151,184.18
30, C04,Assay,Unknown,Un_0219 1/1,620,0.181,184.85
30, D04,Assay,Unknown,Un_0220 1/1,620,0.121,185.62
30, E04,Assay,Unknown,Un_0221 1/1,620,0.147,186.29
30, F04,Assay,Unknown,Un_0222 1/1,620,0.139,187.06
30, G04,Assay,Unknown,Un_0223 1/1,620,0.13,187.73
30, H04,Assay,Unknown,Un_0224 1/1,620,0.147,188.5
30, A05,Assay,Unknown,Un_0225 1/1,620,0.146,183.44
30, B05,Assay,Unknown,Un_0226 1/1,620,0.162,184.16
30, C05,Assay,Unknown,Un_0227 1/1,620,0.154,184.87
30, D05,Assay,Unknown,Un_0228 1/1,620,0.15,185.6
30, E05,Assay,Unknown,Un_0229 1/1,620,0.201,186.31
30, F05,Assay,Unknown,Un_0230 1/1,620,0.143,187.04
30, G05,Assay,Unknown,Un_0231 1/1,620,0.213,187.75
30, H05,Assay,Unknown,Un_0232 1/1,620,0.187,188.48
30, A06,Assay,Unknown,Un_0233 1/1,620,0.171,183.45
30, B06,Assay,Unknown,Un_0234 1/1,620,0.173,184.15
30, C06,Assay,Unknown,Un_0235 1/1,620,0.15,184.89
30, D06,Assay,Unknown,Un_0236 1/1,620,0.123,185.58
30, E06,Assay,Unknown,Un_0237 1/1,620,0.134,186.33
30, F06,Assay,Unknown,Un_0238 1/1,620,0.111,187.02
30, G06,Assay,Unknown,Un_0239 1/1,620,0.147,187.77
30, H06,Assay,Unknown,Un_0240 1/1,620,0.155,188.46
30, A07,Assay,Unknown,Un_0241 1/1,620,0.149,183.47
30, B07,Assay,Unknown,Un_0242 1/1,620,0.141,184.13
30, C07,Assay,Unknown,Un_0243 1/1,620,0.155,184.91
30, D07,Assay,Unknown,Un_0244 1/1,620,0.11,185.56
30, E07,Assay,Unknown,Un_0245 1/1,620,0.036,186.35
30, F07,Assay,Unknown,Un_0246 1/1,620,0.035,187
30, G07,Assay,Unknown,Un_0247 1/1,620,0.035,187.78
30, H07,Assay,Unknown,Un_0248 1/1,620,0.035,188.44
30, A08,Assay,Unknown,Un_0249 1/1,620,0.176,183.49
30, B08,Assay,Unknown,Un_0250 1/1,620,0.173,184.11
30, C08,Assay,Unknown,Un_0251 1/1,620,0.177,184.93
30, D08,Assay,Unknown,Un_0252 1/1,620,0.185,185.54
30, E08,Assay,Unknown,Un_0253 1/1,620,0.238,186.37
30, F08,Assay,Unknown,Un_0254 1/1,620,0.272,186.98
30, G08,Assay,Unknown,Un_0255 1/1,620,0.275,187.8
30, H08,Assay,Unknown,Un_0256 1/1,620,0.324,188.42
30, A09,Assay,Unknown,Un_0257 1/1,620,0.144,183.51
30, B09,Assay,Unknown,Un_0258 1/1,620,0.124,184.09
30, C09,Assay,Unknown,Un_0259 1/1,620,0.112,184.95
30, D09,Assay,Unknown,Un_0260 1/1,620,0.147,185.53
30, E09,Assay,Unknown,Un_0261 1/1,620,0.175,186.39
30, F09,Assay,Unknown,Un_0262 1/1,620,0.112,186.96
30, G09,Assay,Unknown,Un_0263 1/1,620,0.138,187.82
30, H09,Assay,Unknown,Un_0264 1/1,620,0.141,188.4
30, A10,Assay,Unknown,Un_0265 1/1,620,0.154,183.53
30, B10,Assay,Unknown,Un_0266 1/1,620,0.164,184.07
30, C10,Assay,Unknown,Un_0267 1/1,620,0.137,184.97
30, D10,Assay,Unknown,Un_0268 1/1,620,0.165,185.51
30, E10,Assay,Unknown,Un_0269 1/1,620,0.113,186.41
30, F10,Assay,Unknown,Un_0270 1/1,620,0.107,186.94
30, G10,Assay,Unknown,Un_0271 1/1,620,0.14,187.84
30, H10,Assay,Unknown,Un_0272 1/1,620,0.191,188.38
30, A11,Assay,Unknown,Un_0273 1/1,620,0.155,183.55
30, B11,Assay,Unknown,Un_0274 1/1,620,0.136,184.05
30, C11,Assay,Unknown,Un_0275 1/1,620,0.116,184.99
30, D11,Assay,Unknown,Un_0276 1/1,620,0.136,185.49
30, E11,Assay,Unknown,Un_0277 1/1,620,0.143,186.42
30, F11,Assay,Unknown,Un_0278 1/1,620,0.134,186.92
30, G11,Assay,Unknown,Un_0279 1/1,620,0.136,187.86
30, H11,Assay,Unknown,Un_0280 1/1,620,0.154,188.36
30, A12,Assay,Unknown,Un_0281 1/1,620,0.155,183.57
30, B12,Assay,Unknown,Un_0282 1/1,620,0.155,184.03
30, C12,Assay,Unknown,Un_0283 1/1,620,0.108,185.01
30, D12,Assay,Unknown,Un_0284 1/1,620,0.154,185.47
30, E12,Assay,Unknown,Un_0285 1/1,620,0.036,186.44
