Plate,Well,Group,Type,Sample,Wavelength [Ex],Abs,Time [s]
37,G11,Group 1,Unknown,Un0269,620,0.1268,709.99
37,G12,Group 1,Unknown,Un0276,620,0.0348,710.01
37,H12,Group 1,Unknown,Un0288,620,0.035,710.47
37,H11,Group 1,Unknown,Un0287,620,0.1548,710.49
37,H10,Group 1,Unknown,Un0286,620,0.1697,710.51
37,H09,Group 1,Unknown,Un0285,620,0.1496,710.52
37,H08,Group 1,Unknown,Un0284,620,0.1458,710.54
37,H07,Group 1,Unknown,Un0283,620,0.0345,710.56
37,H06,Group 1,Unknown,Un0282,620,0.1819,710.58
37,H05,Group 1,Unknown,Un0281,620,0.1624,710.6
37,H04,Group 1,Unknown,Un0280,620,0.1331,710.62
37,H03,Group 1,Unknown,Un0279,620,0.1376,710.64
37,H02,Group 1,Unknown,Un0278,620,0.2069,710.66
37,H01,Group 1,Unknown,Un0277,620,0.142,710.68
42,A01,Group 1,Unknown,Un0289,620,0.2056,1054.66
42,A02,Group 1,Unknown,Un0290,620,0.1533,1054.68
42,A03,Group 1,Unknown,Un0291,620,0.172,1054.7
42,A04,Group 1,Unknown,Un0292,620,0.1619,1054.72
42,A05,Group 1,Unknown,Un0293,620,0.1745,1054.74
42,A06,Group 1,Unknown,Un0294,620,0.1887,1054.75
42,A07,Group 1,Unknown,Un0295,620,0.1426,1054.77
42,A08,Group 1,Unknown,Un0296,620,0.1794,1054.79
42,A09,Group 1,Unknown,Un0297,620,0.163,1054.81
42,A10,Group 1,Unknown,Un0298,620,0.187,1054.83
42,A11,Group 1,Unknown,Un0299,620,0.1653,1054.85
42,A12,Group 1,Unknown,Un0300,620,0.203,1054.87
42,B12,Group 1,Unknown,Un0312,620,0.2146,1055.33
42,B11,Group 1,Unknown,Un0311,620,0.2207,1055.35
42,B10,Group 1,Unknown,Un0310,620,0.1993,1055.37
42,B09,Group 1,Unknown,Un0309,620,0.1618,1055.39
42,B08,Group 1,Unknown,Un0308,620,0.227,1055.41
42,B07,Group 1,Unknown,Un0307,620,0.1958,1055.43
42,B06,Group 1,Unknown,Un0306,620,0.2085,1055.45
42,B05,Group 1,Unknown,Un0305,620,0.2357,1055.46
42,B04,Group 1,Unknown,Un0304,620,0.1742,1055.48
42,B03,Group 1,Unknown,Un0303,620,0.1715,1055.5
42,B02,Group 1,Unknown,Un0302,620,0.1839,1055.52
42,B01,Group 1,Unknown,Un0301,620,0.187,1055.54
42,C01,Group 1,Unknown,Un0313,620,0.1764,1056.09
42,C02,Group 1,Unknown,Un0314,620,0.1612,1056.11
42,C03,Group 1,Unknown,Un0315,620,0.1661,1056.13
42,C04,Group 1,Unknown,Un0316,620,0.1667,1056.15
42,C05,Group 1,Unknown,Un0317,620,0.1493,1056.17
42,C06,Group 1,Unknown,Un0318,620,0.1444,1056.19
42,C07,Group 1,Unknown,Un0319,620,0.1209,1056.21
42,C08,Group 1,Unknown,Un0320,620,0.1617,1056.23
42,C09,Group 1,Unknown,Un0321,620,0.1401,1056.25
42,C10,Group 1,Unknown,Un0322,620,0.1559,1056.27
42,C11,Group 1,Unknown,Un0323,620,0.115,1056.29
42,C12,Group 1,Unknown,Un0324,620,0.169,1056.3
42,D12,Group 1,Unknown,Un0336,620,0.1905,1056.77
42,D11,Group 1,Unknown,Un0335,620,0.1678,1056.79
42,D10,Group 1,Unknown,Un0334,620,0.1757,1056.8
42,D09,Group 1,Unknown,Un0333,620,0.1587,1056.82
42,D08,Group 1,Unknown,Un0332,620,0.2015,1056.84
42,D07,Group 1,Unknown,Un0331,620,0.1533,1056.86
42,D06,Group 1,Unknown,Un0330,620,0.1886,1056.88
42,D05,Group 1,Unknown,Un0329,620,0.2058,1056.9
42,D04,Group 1,Unknown,Un0328,620,0.1701,1056.92
42,D03,Group 1,Unknown,Un0327,620,0.1436,1056.94
42,D02,Group 1,Unknown,Un0326,620,0.1746,1056.96
42,D01,Group 1,Unknown,Un0325,620,0.236,1056.98
42,E01,Group 1,Unknown,Un0337,620,0.1901,1057.53
42,E02,Group 1,Unknown,Un0338,620,0.1807,1057.55
42,E03,Group 1,Unknown,Un0339,620,0.0372,1057.57
42,E04,Group 1,Unknown,Un0340,620,0.1926,1057.59
42,E05,Group 1,Unknown,Un0341,620,0.185,1057.61
42,E06,Group 1,Unknown,Un0342,620,0.6311,1057.63
42,E07,Group 1,Unknown,Un0343,620,0.035,1057.65
42,E08,Group 1,Unknown,Un0344,620,0.1685,1057.66
42,E09,Group 1,Unknown,Un0345,620,0.4871,1057.68
42,E10,Group 1,Unknown,Un0346,620,0.1601,1057.7
42,E11,Group 1,Unknown,Un0347,620,0.1641,1057.72
42,E12,Group 1,Unknown,Un0348,620,0.0359,1057.74
42,F12,Group 1,Unknown,Un0360,620,0.039,1058.2
42,F11,Group 1,Unknown,Un0359,620,0.1387,1058.22
42,F10,Group 1,Unknown,Un0358,620,0.1709,1058.24
42,F09,Group 1,Unknown,Un0357,620,0.179,1058.26
42,F08,Group 1,Unknown,Un0356,620,0.149,1058.28
42,F07,Group 1,Unknown,Un0355,620,0.0358,1058.3
42,F06,Group 1,Unknown,Un0354,620,0.8097,1058.32
42,F05,Group 1,Unknown,Un0353,620,0.1736,1058.34
42,F04,Group 1,Unknown,Un0352,620,0.6268,1058.36
42,F03,Group 1,Unknown,Un0351,620,0.038,1058.37
42,F02,Group 1,Unknown,Un0350,620,0.2038,1058.39
42,F01,Group 1,Unknown,Un0349,620,0.1869,1058.41
42,G01,Group 1,Unknown,Un0361,620,0.2366,1058.97
42,G02,Group 1,Unknown,Un0362,620,0.2181,1058.98
42,G03,Group 1,Unknown,Un0363,620,0.0379,1059
42,G04,Group 1,Unknown,Un0364,620,0.1707,1059.02
