"","ID","rmax","topt","a","rssq","well","carbon","temp_origin","fermenter"
"119","D3_glucose_12.5_Respirator",0.174024640058061,28.662941386688,10.9149373806807,0.0181302672124496,"D3","glucose","12.5","Respirator"
"120","D3_ribose_12.5_Respirator",0.105710788983559,32.2369670503336,10.2553777980596,3.47730973706064e-05,"D3","ribose","12.5","Respirator"
"121","D4_fructose_42_Respirator",0.128767065085459,35.256836239124,4.41009763228994,0.000997482264610607,"D4","fructose","42","Respirator"
"122","D4_galactose_42_Respirator",0.07358619268246,42,12.2216794989848,0.00127802235405575,"D4","galactose","42","Respirator"
"123","D4_glucose_42_Respirator",0.104277157501969,42,108.723935038931,0.00126247416435539,"D4","glucose","42","Respirator"
"124","D4_ribose_42_Respirator",0.09006495444451,37,7.71193854831165,7.64197557586685e-06,"D4","ribose","42","Respirator"
"125","D5_fructose_42_Respirator",0.258411958724303,36.0498471628691,3.77218527495479,0.0012311046127674,"D5","fructose","42","Respirator"
"126","D5_galactose_42_Respirator",0.146962001226251,36.6448747147409,4.17344794439987,0.00128808320774274,"D5","galactose","42","Respirator"
"127","D5_glucose_42_Respirator",0.126897827506528,33.3410522761845,12.2774428732982,0.00372995089580426,"D5","glucose","42","Respirator"
"128","D5_ribose_42_Respirator",0.078863389711645,37,9.01835357792132,5.89806351957912e-05,"D5","ribose","42","Respirator"
"129","D7_fructose_37.7_Respirator",0.113864180254813,27.8762254399828,10.7616954094657,0.00799438797361903,"D7","fructose","37.7","Respirator"
"130","D7_galactose_37.7_Respirator",0.119694532189531,25.3750615879958,10.8887686983753,0.0204741024895008,"D7","galactose","37.7","Respirator"
"131","D7_glucose_37.7_Respirator",0.194508906552913,31.0606799492596,11.8881592199005,0.0101500502739578,"D7","glucose","37.7","Respirator"
"132","D7_ribose_37.7_Respirator",0.0780351341399285,37,15.3871338864279,0.00308140452324514,"D7","ribose","37.7","Respirator"
"133","D8_fructose_30_Respirator",0.219038113143974,36.046667227738,4.49025712834054,0.00341571462980674,"D8","fructose","30","Respirator"
"134","D8_galactose_30_Respirator",0.0896396267530875,27.4412948898151,11.0789189820165,0.00347617043148785,"D8","galactose","30","Respirator"
"135","D8_glucose_30_Respirator",0.124877622505609,30.7293665613343,10.3908266889637,0.000315539786967557,"D8","glucose","30","Respirator"
"136","D8_ribose_30_Respirator",0.101312804856693,31.867038135662,7.48089287455409,8.06270483296127e-06,"D8","ribose","30","Respirator"
"137","E10_fructose_22_Fermenter",0.15477538153433,29.5339644796442,26.77545312599,0.00649032958042033,"E10","fructose","22","Fermenter"
