"","well","tmp","carbon_source","carbon","temperature","Fermenter","mean_r","mean_lag"
"283","B4",42,"glucose","Glu",42,"Fermenter",0.305243823440737,6.97687653996837
"284","B4",42,"galactose","Glu",42,"Fermenter",0.118524953435654,-0.233724792553242
"285","B4",42,"fructose","Glu",42,"Fermenter",0.191028140283828,5.82522447099474
"286","B5",12,"glucose","Gal",42,"Fermenter",0.0889079062640765,6.55720031140326
"287","B5",12,"galactose","Gal",42,"Fermenter",0.0790002458115392,9.7838596784524
"288","B5",12,"fructose","Gal",42,"Fermenter",0.0671627204437068,26.7632299190429
"289","B5",12,"ribose","Gal",42,"Fermenter",0.0199990121654463,38.768942017562
"290","B5",22,"glucose","Gal",42,"Fermenter",0.201880109742084,0.898752288703188
"291","B5",22,"galactose","Gal",42,"Fermenter",0.218782831053988,5.13676740966047
"292","B5",22,"fructose","Gal",42,"Fermenter",0.17718778983301,4.98441054226415
"293","B5",22,"ribose","Gal",42,"Fermenter",0.106073209374527,-30.5829486007045
"294","B5",30,"glucose","Gal",42,"Fermenter",0.2440385802891,2.43422786856793
"295","B5",30,"galactose","Gal",42,"Fermenter",0.215459372470972,1.17153645776949
"296","B5",30,"fructose","Gal",42,"Fermenter",0.238103322479041,3.11151271137578
"297","B5",30,"ribose","Gal",42,"Fermenter",0.185145327479732,5.13376011598037
"298","B5",37,"glucose","Gal",42,"Fermenter",0.367685442916292,0.24590753645327
"299","B5",37,"galactose","Gal",42,"Fermenter",0.277798780659126,2.38556533659584
"300","B5",37,"fructose","Gal",42,"Fermenter",0.500805006193386,3.76510002249884
"301","B5",37,"ribose","Gal",42,"Fermenter",0.253702118863905,2.52756818333399
"302","B5",42,"glucose","Gal",42,"Fermenter",0.288352297887697,6.20709652699732
"303","B5",42,"galactose","Gal",42,"Fermenter",0.250398931577394,4.98198161236771
"304","B5",42,"fructose","Gal",42,"Fermenter",0.266701655614633,4.16014091309365
"305","B6",12,"glucose","Glu",37.7,"Fermenter",0.0895342468257512,21.7033616771973
"306","B6",12,"galactose","Glu",37.7,"Fermenter",0.0371394153761135,27.6240601203297
"307","B6",12,"fructose","Glu",37.7,"Fermenter",0.0695543533387136,38.905180594312
"308","B6",12,"ribose","Glu",37.7,"Fermenter",0.0157946560689789,39.5581245017983
"309","B6",22,"glucose","Glu",37.7,"Fermenter",0.1830034098469,4.23879452722425
"310","B6",22,"galactose","Glu",37.7,"Fermenter",0.160843098096054,4.75012977329566
"311","B6",22,"fructose","Glu",37.7,"Fermenter",0.16033494191575,3.45719098924174
"312","B6",22,"ribose","Glu",37.7,"Fermenter",0.100691871386543,4.35622795350138
"313","B6",30,"glucose","Glu",37.7,"Fermenter",0.245380809686493,3.35877817414605
"314","B6",30,"galactose","Glu",37.7,"Fermenter",0.163789617783843,2.83673885950858
"315","B6",30,"fructose","Glu",37.7,"Fermenter",0.237625957656645,3.50627404239866
"316","B6",30,"ribose","Glu",37.7,"Fermenter",0.183923791256688,6.3752037932824
"317","B6",37,"glucose","Glu",37.7,"Fermenter",0.344482977487986,0.260381554963812
"318","B6",37,"galactose","Glu",37.7,"Fermenter",0.151659024785861,0.096517647460938
"319","B6",37,"fructose","Glu",37.7,"Fermenter",0.318424848210097,2.02134160331294
"320","B6",37,"ribose","Glu",37.7,"Fermenter",0.242711367979035,2.63791118404489
